City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
252,Namibe,AO,-15.1961,12.1522,62.29,79,0,8.39,clear sky
253,Santa Cruz Del Sur,CU,20.7147,-77.9956,81.28,75,78,11.77,broken clouds
254,Xichang,CN,27.8964,102.2634,69.26,83,73,3.27,broken clouds
255,Naze,JP,28.3667,129.4833,85.12,80,83,17.18,broken clouds
256,Longyan,CN,25.1072,117.0225,86.41,64,6,3.62,clear sky
257,Nikolskoye,RU,59.7035,30.7861,64.87,82,8,7.05,clear sky
258,Waitati,NZ,-45.75,170.5667,45.81,65,94,8.7,overcast clouds
259,Vitim,RU,59.4511,112.5578,61.9,88,100,6.64,overcast clouds
260,Bilma,NE,18.6853,12.9164,88.18,36,55,6.62,broken clouds
261,Kawalu,ID,-7.3817,108.2082,73.04,89,84,2.89,broken clouds
262,Ola,RU,59.5833,151.2833,79.14,80,51,6.62,broken clouds
263,Saint-Augustin,CA,51.226,-58.6502,55.22,88,100,15.99,overcast clouds
264,Pailon,BO,-17.65,-62.75,72.5,61,6,6.42,clear sky
265,Sobolevo,RU,54.4299,31.8996,58.48,63,100,15.43,overcast clouds
266,Codrington,AU,-38.2667,141.9667,53.69,56,5,6.4,clear sky
267,Ukiah,US,39.1502,-123.2078,100.44,20,0,9.22,clear sky
268,Nome,US,64.5011,-165.4064,47.16,87,100,8.05,moderate rain
269,Victoria,HK,22.2855,114.1577,90.32,76,14,8.01,few clouds
270,Hanmer Springs,NZ,-42.5167,172.8167,37.53,98,100,7.85,overcast clouds
271,Kaeo,NZ,-35.1,173.7833,61.32,78,1,17.67,clear sky
272,Waw,SS,7.7029,27.9953,68.97,90,100,2.68,overcast clouds
273,Tukrah,LY,32.5341,20.5791,75.61,68,0,8.68,clear sky
274,Tignere,CM,7.3667,12.65,63.57,97,100,1.34,light rain
275,Patan,NP,27.6667,85.3333,70.18,100,75,0.0,broken clouds
276,Itupiranga,BR,-5.1347,-49.3267,75.52,67,92,0.63,overcast clouds
277,Dikson,RU,73.5069,80.5464,38.86,91,100,30.18,light rain
278,Podosinovets,RU,60.2776,47.0659,51.26,97,12,2.82,few clouds
279,Mount Gambier,AU,-37.8333,140.7667,53.1,56,7,8.59,clear sky
280,Flin Flon,CA,54.7682,-101.865,66.61,52,97,12.48,overcast clouds
281,Urumqi,CN,43.801,87.6005,70.75,33,0,15.66,clear sky
282,Anadyr,RU,64.75,177.4833,50.5,57,75,13.42,broken clouds
283,San Patricio,US,28.017,-97.5169,88.18,65,4,18.48,clear sky
284,Pittsfield,US,42.4501,-73.2454,82.18,79,0,0.0,clear sky
285,Muisne,EC,0.6,-80.0333,73.72,86,100,7.25,overcast clouds
286,Rio Grande,BR,-32.035,-52.0986,58.95,92,0,12.12,clear sky
287,Pochutla,MX,15.7432,-96.4661,84.02,82,100,4.74,overcast clouds
288,Selma,US,36.5708,-119.6121,105.85,23,0,5.75,clear sky
289,Rocky Mount,US,35.9382,-77.7905,83.21,69,0,10.36,clear sky
290,Richards Bay,ZA,-28.783,32.0377,61.61,89,22,5.77,few clouds
291,Karema,TZ,-6.8205,30.4389,72.28,49,78,11.54,broken clouds
292,Pisco,PE,-13.7,-76.2167,60.85,82,100,6.91,overcast clouds
293,Port Moresby,PG,-9.4431,147.1797,81.46,74,12,2.91,few clouds
294,Behshahr,IR,36.6923,53.5526,76.78,86,68,5.1,broken clouds
295,Vao,NC,-22.6667,167.4833,74.08,89,100,10.13,overcast clouds
296,Camana,PE,-16.6228,-72.7111,60.17,87,93,5.77,overcast clouds
297,Benjamin Constant,BR,-4.3831,-70.0311,78.93,94,99,2.77,overcast clouds
298,Envira,BR,-7.3,-70.2167,72.19,66,10,1.01,clear sky
299,Allonnes,FR,47.9674,0.1581,66.24,82,100,2.3,overcast clouds
300,Sitka,US,57.0531,-135.33,55.29,82,100,8.05,light rain
301,Sonoita,MX,31.85,-112.8333,96.57,24,28,10.54,scattered clouds
302,Zhigansk,RU,66.7697,123.3711,51.57,68,100,10.58,overcast clouds
303,Pleshanovo,RU,52.8333,53.4833,59.05,70,12,4.88,few clouds
304,Bilibino,RU,68.0546,166.4372,54.72,34,35,8.37,scattered clouds
305,Champerico,GT,14.3,-91.9167,82.67,77,100,6.69,overcast clouds
306,Chengdu,CN,30.6667,104.0667,75.4,86,95,2.3,overcast clouds
307,Kingsville,US,27.5159,-97.8561,89.78,73,0,18.41,clear sky
308,Marsh Harbour,BS,26.5412,-77.0636,82.67,75,3,11.88,clear sky
309,Whitehorse,CA,60.7161,-135.0538,52.81,79,100,10.36,light intensity shower rain
310,Seydisehir,TR,37.4193,31.8453,58.5,75,0,4.79,clear sky
311,Tilichiki,RU,60.4667,166.1,64.4,38,1,6.91,clear sky
312,Parakou,BJ,9.3372,2.6303,69.49,87,98,4.72,overcast clouds
313,Faanui,PF,-16.4833,-151.75,78.08,69,8,10.45,clear sky
314,Taoudenni,ML,22.6783,-3.9836,93.43,31,99,11.39,overcast clouds
315,Souillac,MU,-20.5167,57.5167,66.58,82,75,12.66,broken clouds
316,Ngunguru,NZ,-35.6167,174.5,55.81,73,8,15.95,clear sky
317,Genhe,CN,50.7833,121.5167,80.55,42,0,4.54,clear sky
318,Alferrarede,PT,39.4833,-8.1667,62.85,82,0,5.12,clear sky
319,Sola,VU,-13.8833,167.55,81.25,78,14,18.52,few clouds
320,Chulym,RU,55.0997,80.9572,58.42,95,100,8.01,light rain
321,Diffa,NE,13.3154,12.6113,77.47,71,99,8.25,overcast clouds
322,Pimentel,PE,-6.8367,-79.9342,62.8,84,16,15.82,few clouds
323,Daru,PG,-9.0763,143.2092,78.87,87,11,8.86,few clouds
324,Caravelas,BR,-17.7125,-39.2481,70.88,79,0,6.24,clear sky
325,Thompson,CA,55.7435,-97.8558,66.36,72,75,10.36,broken clouds
326,Kendari,ID,-3.945,122.4989,79.83,86,18,2.19,few clouds
327,Barreirinha,BR,-2.7933,-57.07,74.57,92,53,2.39,broken clouds
328,Halifax,CA,44.6453,-63.5724,69.53,76,24,7.07,few clouds
329,Valenca,BR,-13.3703,-39.0731,67.24,96,64,3.27,broken clouds
330,San Luis,AR,-33.295,-66.3356,50.72,53,0,4.7,clear sky
331,Makakilo City,US,21.3469,-158.0858,84.52,58,75,16.11,shower rain
332,Kiama,AU,-34.6833,150.8667,60.01,93,100,3.0,overcast clouds
333,North Bend,US,43.4065,-124.2243,73.24,86,100,12.66,overcast clouds
334,Verkhoyansk,RU,67.5447,133.385,53.82,57,100,2.93,overcast clouds
335,Guerrero Negro,MX,27.9769,-114.0611,76.32,56,9,17.11,clear sky
336,Avera,US,33.194,-82.5271,81.55,75,100,6.82,overcast clouds
337,Pskov,RU,57.8136,28.3496,60.71,88,0,6.71,clear sky
338,Mandan,US,46.8267,-100.8896,81.61,46,0,17.27,clear sky
339,Marzuq,YE,14.4,46.4667,74.43,65,100,7.81,overcast clouds
340,Nizhniy Odes,RU,63.6445,54.856,60.28,70,31,1.21,scattered clouds
341,Vigrestad,NO,58.5667,5.7,57.58,92,100,21.12,overcast clouds
342,Jasper,US,37.2001,-94.3502,94.44,36,0,5.75,clear sky
343,Bandarbeyla,SO,9.4942,50.8122,74.28,82,7,24.02,clear sky
344,Inongo,CD,-1.95,18.2667,68.63,90,5,2.53,clear sky
345,Marrakesh,MA,31.6315,-8.0083,89.67,31,40,4.61,scattered clouds
346,Murgab,TM,37.4966,61.9714,75.07,35,0,6.91,clear sky
347,Stromness,GB,58.965,-3.296,53.56,91,32,10.0,scattered clouds
348,Ussel,FR,45.55,2.3167,54.9,94,0,1.25,clear sky
349,Itoman,JP,26.1247,127.6694,91.4,84,20,10.36,few clouds
