City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
558,Vaitape,PF,78.04,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
559,Miri,MY,82.54,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
561,Kalmunai,LK,79.81,overcast clouds,7.4167,81.8167,VS Villa
566,Nangong,CN,80.29,clear sky,37.3581,115.3744,7Days Inn Xingtai South Yucai Road
571,Jevargi,IN,75.54,overcast clouds,17.0167,76.7667,Khamadhenu Hotel
574,Natal,BR,75.42,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
576,Samana,DO,79.25,few clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
578,Cedar City,US,88.77,clear sky,37.6775,-113.0619,Hampton Inn Cedar City
580,Tiarei,PF,82.0,clear sky,-17.5333,-149.3333,Le Rocher de Tahiti
582,Samarai,PG,82.67,clear sky,-10.6167,150.6667,Nuli Sapi
584,Nhulunbuy,AU,81.21,clear sky,-12.2333,136.7667,East Arnhem Real Estate
587,Katsuura,JP,80.64,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
588,San Giuseppe Jato,IT,76.71,clear sky,37.9734,13.1881,B&B OASI
591,Hengshui,CN,80.24,clear sky,37.7322,115.7011,Eaka Hotel Hengshui Railway Station Branch
592,Srandakan,ID,78.37,broken clouds,-7.9386,110.2506,Puri Brata
599,Bombay,IN,80.58,haze,19.0144,72.8479,Hotel Avon Ruby-Dadar
602,Mayo,US,87.19,clear sky,38.8876,-76.5119,Resorts Resource Group International
603,Tieli,CN,78.03,clear sky,46.95,128.05,Dynasty Hotel
604,Smithers,CA,75.38,broken clouds,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
605,Churapcha,RU,81.46,overcast clouds,62.0025,132.4325,"""Tusku"""
607,Pemangkat,ID,80.69,overcast clouds,1.1667,108.9667,Ramah Kost KITA
609,Westport,US,84.61,clear sky,41.1415,-73.3579,The Westport Inn
612,Katherine,AU,75.52,broken clouds,-14.4667,132.2667,Pine Tree Motel
617,Saint-Jerome,CA,83.43,broken clouds,45.7804,-74.0036,Comfort Inn & Suites
618,Lingao,CN,84.18,clear sky,19.9103,109.6859,Lingao Ditai Inn
624,San Ignacio,BZ,80.74,broken clouds,17.1561,-89.0714,Rainforest Haven Inn
626,Salinopolis,BR,79.39,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
628,Taganak,PH,84.34,overcast clouds,6.0833,118.3,Taganak
630,Tura,IN,75.29,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
631,Bam,IR,87.76,clear sky,29.106,58.357,Bam Tourist Hotel
633,Sohag,EG,83.28,clear sky,26.557,31.6948,Civil Registry - Sohag 1
634,Nanakuli,US,85.95,broken clouds,21.3906,-158.1547,Camp Pālehua
636,Clemencia,CO,79.97,few clouds,10.5665,-75.325,Casa de Miguel Ángel Vasquez
641,Mach,PK,84.97,clear sky,29.8637,67.3298,Naqeebullah Hotel Mach نقیب اللہ ہوٹل مچھ
642,Aden,YE,82.04,overcast clouds,12.7794,45.0367,Sama Emirate Hotel
643,Gunjur,GM,75.27,broken clouds,13.2019,-16.7339,Jallo Kurundingoto Eco Tourist Camp
645,Saint-Georges,GD,78.48,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
649,Raymond,US,78.35,clear sky,43.9015,-70.4703,Migis Lodge at Sebago Lake
651,Loa Janan,ID,81.54,scattered clouds,-0.583,117.095,Kost bu jono
652,Tabuk,PH,84.02,broken clouds,17.4189,121.4443,Golden Berries Hotel and Convention
654,Luganville,VU,83.61,few clouds,-15.5333,167.1667,The Espiritu Hotel
656,Waingapu,ID,79.65,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
657,Sioux Lookout,CA,77.07,scattered clouds,50.1001,-91.917,Knobby's Fly-In Camps
660,Bull Savanna,JM,77.16,clear sky,17.8868,-77.5902,Big Red's
663,Howard Springs,AU,80.87,broken clouds,-12.497,131.047,buffalo beach hostel
664,Lae,PG,83.89,overcast clouds,-6.7221,146.9847,Phils Hotel
666,Acarau,BR,76.42,scattered clouds,-2.8856,-40.12,castelo pizzaria
670,Kattivakkam,IN,81.07,overcast clouds,13.2167,80.3167,Euronova Freezer
672,Karatsu,JP,87.69,overcast clouds,33.4425,129.9697,Niji no Matsubara Hotel
